sentence,target
New York is a state in the northeastern United States.,0
"It was one of the original thirteen colonies, forming the United States.",0
"With a total area of 54,555 square miles (141,300 km2), New York is the 27th largest state.",0
Its population of more than 19 million as of 2019  makes it the fourth most populous.,0
"Sometimes referred to as New York State, it is the home of New York City.",0
Two-thirds of the state's population lives in the New York metropolitan area.,0
"With an estimated population of 8.34 million in 2019, New York City is the most populous city in the United States and the premier gateway for immigration to the United States.",0
The New York metropolitan area is one of the most populous in the world.,0
"A global city, New York City is home to the United Nations Headquarters, and has been described as the cultural, financial, and media capital of the world, as well as the world's most economically powerful city.",0
"The next four most populous cities in the state are Buffalo, Rochester, Yonkers, and Syracuse, while the state capital is Albany.",0
New York has a diverse geography.,0
"The state is bordered by New Jersey and Pennsylvania to the south and Connecticut, Massachusetts, and Vermont to the east.",0
"The state has a maritime border with Rhode Island, east of Long Island, as well as an international border with the Canadian provinces of Quebec to the north and Ontario to the northwest.",0
"The southern part of the state is in the Atlantic coastal plain and includes Long Island and several smaller associated islands, as well as New York City and the lower Hudson River Valley.",0
"The large Upstate New York region comprises several ranges of the wider Appalachian Mountains, and the Adirondack Mountains in the northeastern lobe of the state.",0
The north–south Hudson River Valley and the east–west Mohawk River Valley bisect these more mountainous regions.,0
"Western New York is considered part of the Great Lakes region and borders on Lake Ontario, Lake Erie, and Niagara Falls.",0
"The central part of the state is dominated by the Finger Lakes, a popular vacation and tourist destination.",0
New York had been inhabited by tribes of Algonquian and Iroquoian-speaking Native Americans for several hundred years by the time the earliest Europeans came to New York.,0
French colonists and Jesuit missionaries arrived southward from Montreal for trade and proselytizing.,0
"In 1609, the region was visited by Henry Hudson sailing for the Dutch East India Company.",0
"The Dutch built Fort Nassau in 1614 at the confluence of the Hudson and Mohawk rivers, where the present-day capital of Albany later developed.",0
"The Dutch soon also settled New Amsterdam and parts of the Hudson Valley, establishing the multicultural colony of New Netherland, a center of trade and immigration.",0
England seized the colony from the Dutch in 1664.,0
"During the American Revolutionary War (1775–1783), a group of colonists of the Province of New York attempted to take control of the British colony and eventually succeeded in establishing independence.",0
"In the 19th century, New York's development of the interior, beginning with the Erie Canal, gave it incomparable advantages over other regions of the east coast and built its political and cultural ascendancy.",0
"Many landmarks in New York are well known, including four of the world's ten most-visited tourist attractions in 2013: Times Square, Central Park, Niagara Falls, and Grand Central Terminal.",0
New York is home to the Statue of Liberty.,0
"In the 21st century, New York has emerged as a global node of creativity and entrepreneurship, social tolerance, and environmental sustainability.",0
"New York has approximately 200 colleges and universities, including the State University of New York.",0
Several have been ranked among the top 100 in the nation and world.,0
The tribes in what is now New York were predominantly Haudenosaunee and Algonquian.,0
Long Island was divided roughly in half between the Wampanoag and Lenape.,0
The Lenape also controlled most of the region surrounding New York Harbor.,0
"North of the Lenape was a third Algonquian nation, the Mohicans.",0
"Starting north of them, from east to west, were three Iroquoian nations: the Mohawk, the original Iroquois and the Petun.",0
"South of them, divided roughly along Appalachia, were the Susquehannock and the Erie.",0
"Many of the Wampanoag and Mohican peoples were caught up in King Philip's War, a joint effort of many New England tribes to push Europeans off their land.",0
"After the death of their leader, Chief Philip Metacomet, most of those peoples fled inland, splitting into the Abenaki and the Schaghticoke.",0
"Many of the Mohicans remained in the region until the 1800s, however, a small group known as the Ouabano migrated southwest into West Virginia at an earlier time.",0
They may have merged with the Shawnee.,0
The Mohawk and Susquehannock were the most militaristic.,0
"Trying to corner trade with the Europeans, they targeted other tribes.",0
The Mohawk were also known for refusing white settlement on their land and banishing any of their people who converted to Christianity.,0
"They posed a major threat to the Abenaki and Mohicans, while the Susquehannock briefly conquered the Lenape in the 1600s.",0
"The most devastating event of the century, however, was the Beaver Wars.",0
"From approximately 1640–1680, Iroquoian peoples waged campaigns which extended from modern-day Michigan to Virginia against Algonquian and Siouan tribes, as well as each other.",0
"The aim was to control more land for animal trapping, a career most natives had turned to in hopes of trading with whites first.",0
"This completely changed the ethnography of the region, and most large game was hunted out before whites ever fully explored the land.",0
"Still, afterward, the Iroquois Confederacy offered shelter to refugees of the Mascouten, Erie, Chonnonton, Tutelo, Saponi, and Tuscarora nations.",0
"In the 1700s, they would also merge with the Mohawk during the French-Indian War and take in the remaining Susquehannock of Pennsylvania after they were decimated in war.",0
Most of these other groups blended in until they ceased to exist.,0
"Then, after the Revolution, a large group of them split off and returned to Ohio, becoming known as the Mingo Seneca.",0
"The current six tribes of the Iroquois Confederacy are the Seneca, Cayuga, Onondaga, Oneida, Tuscarora and Mohawk.",0
The Iroquois fought for both sides during the Revolutionary War; afterwards many pro-British Iroquois migrated to Canada.,0
"Today, the Iroquois still live in several reservations in upstate New York.",0
"Meanwhile, the Lenape formed a close relationship with William Penn.",0
"However, upon Penn's death, his sons managed to take over much of their lands and banish them to Ohio.",0
"When the U.S. drafted the Indian Removal Act, the Lenape were further moved to Missouri, whereas their cousins, the Mohicans, were sent to Wisconsin.",0
"Also, in 1778, the United States relocated the Nanticoke from the Delmarva Peninsula to the former Iroquois lands south of Lake Ontario, though they did not stay long.",0
"Mostly, they chose to migrate into Canada and merge with the Iroquois, although some moved west and merged with the Lenape.",0
"In 1524, Giovanni da Verrazzano, an Italian explorer in the service of the French crown, explored the Atlantic coast of North America between the Carolinas and Newfoundland, including New York Harbor and Narragansett Bay.",0
"On April 17, 1524, Verrazzano entered New York Bay, by way of the strait now called the Narrows into the northern bay which he named Santa Margherita, in honor of the King of France's sister.",0
"Verrazzano described it as ""a vast coastline with a deep delta in which every kind of ship could pass"" and he adds: ""that it extends inland for a league and opens up to form a beautiful lake.",0
"This vast sheet of water swarmed with native boats.""",0
He landed on the tip of Manhattan and possibly on the furthest point of Long Island.,0
Verrazzano's stay was interrupted by a storm which pushed him north towards Martha's Vineyard.,0
"In 1540, French traders from New France built a chateau on Castle Island, within present-day Albany; it was abandoned the following year due to flooding.",0
"In 1614, the Dutch, under the command of Hendrick Corstiaensen, rebuilt the French chateau, which they called Fort Nassau.",0
"Fort Nassau was the first Dutch settlement in North America, and was located along the Hudson River, also within present-day Albany.",0
The small fort served as a trading post and warehouse.,0
"Located on the Hudson River flood plain, the rudimentary ""fort"" was washed away by flooding in 1617, and abandoned for good after Fort Orange (New Netherland) was built nearby in 1623.",0
Henry Hudson's 1609 voyage marked the beginning of European involvement with the area.,0
"Sailing for the Dutch East India Company and looking for a passage to Asia, he entered the Upper New York Bay on September 11 of that year.",0
Word of his findings encouraged Dutch merchants to explore the coast in search for profitable fur trading with local Native American tribes.,0
"During the 17th century, Dutch trading posts established for the trade of pelts from the Lenape, Iroquois, and other tribes were founded in the colony of New Netherland.",0
"The first of these trading posts were Fort Nassau (1614, near present-day Albany); Fort Orange (1624, on the Hudson River just south of the current city of Albany and created to replace Fort Nassau), developing into settlement Beverwijck (1647), and into what became Albany; Fort Amsterdam (1625, to develop into the town New Amsterdam which is present-day New York City); and Esopus, (1653, now Kingston).",0
"The success of the patroonship of Rensselaerswyck (1630), which surrounded Albany and lasted until the mid-19th century, was also a key factor in the early success of the colony.",0
The English captured the colony during the Second Anglo-Dutch War and governed it as the Province of New York.,0
The city of New York was recaptured by the Dutch in 1673 during the Third Anglo-Dutch War (1672–1674) and renamed New Orange.,0
It was returned to the English under the terms of the Treaty of Westminster a year later.,0
"The Sons of Liberty were organized in New York City during the 1760s, largely in response to the oppressive Stamp Act passed by the British Parliament in 1765.",0
"The Stamp Act Congress met in the city on October 19 of that year, composed of representatives from across the Thirteen Colonies who set the stage for the Continental Congress to follow.",0
"The Stamp Act Congress resulted in the Declaration of Rights and Grievances, which was the first written expression by representatives of the Americans of many of the rights and complaints later expressed in the United States Declaration of Independence.",0
This included the right to representative government.,0
"At the same time, given strong commercial, personal and sentimental links to Britain, many New York residents were Loyalists.",0
The Capture of Fort Ticonderoga provided the cannon and gunpowder necessary to force a British withdrawal from the Siege of Boston in 1775.,0
"New York was the only colony not to vote for independence, as the delegates were not authorized to do so.",0
"New York then endorsed the Declaration of Independence on July 9, 1776.",0
"The New York State Constitution was framed by a convention which assembled at White Plains on July 10, 1776, and after repeated adjournments and changes of location, finished its work at Kingston on Sunday evening, April 20, 1777, when the new constitution drafted by John Jay was adopted with but one dissenting vote.",0
It was not submitted to the people for ratification.,0
"On July 30, 1777, George Clinton was inaugurated as the first Governor of New York at Kingston.",0
"About a third of the battles of the American Revolutionary War took place in New York; the first major one (and largest of the entire war) was the Battle of Long Island, a.k.a.",0
"Battle of Brooklyn, in August 1776.",0
"After their victory, the British occupied New York City, making it their military and political base of operations in North America for the duration of the conflict, and consequently the focus of General George Washington's intelligence network.",0
"On the notorious British prison ships of Wallabout Bay, more American combatants died of intentional neglect than were killed in combat in every battle of the war combined.",0
Both sides of combatants lost more soldiers to disease than to outright wounds.,0
"The first of two major British armies were captured by the Continental Army at the Battle of Saratoga in 1777, a success that influenced France to ally with the revolutionaries.The state constitution was enacted in 1777.",0
"New York became the 11th state to ratify the United States Constitution, on July 26, 1788.",0
"In an attempt to retain their sovereignty and remain an independent nation positioned between the new United States and British North America, four of the Iroquois Nations fought on the side of the British; only the Oneida and their dependents, the Tuscarora, allied themselves with the Americans.",0
"In retaliation for attacks on the frontier led by Joseph Brant and Loyalist Mohawk forces, the Sullivan Expedition of 1779 destroyed nearly 50 Iroquois villages, adjacent croplands and winter stores, forcing many refugees to British-held Niagara.",0
"As allies of the British, the Iroquois were forced out of New York, although they had not been part of treaty negotiations.",0
They resettled in Canada after the war and were given land grants by the Crown.,0
